users_id,region,gender,age,height,weight,deadlift,backsq,pullups,Goals,WorkoutLocation,Equipment,Program name
13576,Europe,Male,37,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
47909,Europe,Male,44,NA,189,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
81192,Europe,Male,27,74,207,397,342,35,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
15791,Europe,Male,33,74,203,463,331,20,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
18543,Europe,Male,27,69,192,441,397,30,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
19548,Europe,Male,35,71,187,463,342,55,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
40474,Europe,Male,35,69,238,485,408,11,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
48120,Europe,Male,31,73,194,430,331,40,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
56419,Europe,Male,30,76,225,375,NA,18,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
2217,Europe,Male,43,69,183,397,331,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
2541,Europe,Male,32,72,214,485,397,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
7366,Europe,Male,35,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
10806,Europe,Male,36,66,197,441,353,42,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
40676,Asia,Male,35,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
50103,Europe,Male,35,73,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
77373,Asia,Male,29,66,147,353,309,40,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
5442,Europe,Male,33,75,206,496,397,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
33079,Europe,Male,33,69,183,507,364,67,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
36966,Europe,Male,20,72,193,452,353,60,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
53996,Europe,Male,29,NA,159,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
4182,Europe,Male,36,67,162,353,331,35,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
6285,Europe,Male,26,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
16117,Europe,Male,28,72,187,441,353,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
31876,Europe,Male,39,72,209,485,397,33,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
54136,Europe,Male,27,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
64931,Europe,Male,34,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
5793,Europe,Male,27,71,176,463,353,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
7634,Asia,Male,38,71,170,0,0,0,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
17876,Europe,Male,33,68,67,441,298,45,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
83198,Europe,Male,45,68,161,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
3110,Europe,Male,44,70,106,397,353,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
10841,Europe,Male,37,76,176,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
21453,Europe,Male,23,70,180,397,322,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
32555,Europe,Male,30,69,176,0,0,0,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
37298,Europe,Male,32,72,205,455,395,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
46192,Europe,Male,33,NA,70,302,260,50,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
7820,Asia,Male,32,69,180,305,265,27,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
43413,Asia,Male,28,NA,185,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
10805,Europe,Male,30,70,171,441,331,0,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
13096,Europe,Male,46,74,220,454,342,36,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
27315,Europe,Male,30,68,163,456,331,74,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
38277,Europe,Male,24,67,145,331,287,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
19661,Europe,Male,30,71,190,529,386,40,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
78029,Asia,Male,31,68,165,425,325,42,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
68745,Europe,Male,31,67,179,440,405,45,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
2131,Europe,Male,37,70,165,408,320,74,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
8127,Europe,Male,26,70,176,474,375,53,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
8866,Europe,Male,26,71,187,397,353,31,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
25045,Europe,Male,47,69,174,309,309,24,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
55475,Europe,Male,32,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
56427,Europe,Male,38,70,172,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
81825,Europe,Male,20,72,194,NA,419,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
29478,Asia,Male,26,66,138,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
58362,Europe,Male,31,70,78,NA,331,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
78656,Europe,Male,39,69,132,243,176,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
9439,Asia,Male,29,71,162,330,245,30,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
7191,Asia,Male,33,69,174,365,300,38,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
9043,Europe,Male,26,72,191,419,375,51,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
17653,Europe,Male,36,67,183,375,287,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
7882,Europe,Male,27,74,201,0,0,0,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
9187,Europe,Male,34,66,143,397,309,101,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
45735,Europe,Male,30,72,198,419,287,21,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
45756,Europe,Male,40,74,205,397,342,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
66899,Europe,Male,31,69,169,243,243,24,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
75762,Europe,Male,41,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
22013,Asia,Male,42,74,180,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
44276,Europe,Male,34,70,174,265,243,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
55740,Europe,Male,27,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
60615,Asia,Male,30,67,163,385,365,61,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
7297,Europe,Male,25,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
61070,Europe,Male,35,76,NA,408,309,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
2120,Europe,Male,38,73,198,441,386,49,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
3584,Europe,Male,35,76,209,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
35874,Europe,Male,31,70,192,496,397,30,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
36627,Europe,Male,31,70,182,455,365,52,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
51932,Europe,Male,25,NA,205,0,0,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
64519,Europe,Male,28,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
9650,Europe,Male,31,75,195,0,0,0,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
79689,Europe,Male,27,70,154,264,233,30,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
8023,Europe,Male,27,71,194,573,430,70,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
10932,Europe,Male,40,70,190,452,364,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
60464,Europe,Male,45,74,207,441,342,40,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
25965,Europe,Male,42,76,212,375,309,28,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
34481,Europe,Male,47,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
40622,Europe,Male,26,67,NA,430,320,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
48793,Europe,Male,33,67,172,0,0,0,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
5207,Europe,Male,31,72,194,0,0,0,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
